标题,作者,点赞,点击,评论,收藏,点赞比（越小越好）,第 30 个百分位数,第 90 个百分位数,
【秦彻】驯,Kissmehardbfugo,"1,174","35,990",108,47,30.65588 ,33.5841195,119.0526316,
【秦彻】吻,ciliiii,207,"8,236",7,3,39.78744 ,,,
【秦彻】欲,NOID96,195,"8,191",14,4,42.00513 ,第一个四分位,第二个四分位,
【秦彻】秦彻适合hate fuck,SylviaYu,315,"32,836",0,2,104.24127 ,30.4007579,46.34253247,70.62962963
秦彻【互助】,Dmoyu,105,"6,617",0,3,63.01905 ,,,
秦彻｜咒文,Dionysus_655321,90,"4,668",4,2,51.86667 ,241,0.291767554,
彻影雾踪【秦彻】,FSSSSS,364,"19,142",9,13,52.58791 ,,0.00000 ,
水雾【秦彻】,Chunxi777,35,"2,331",0,0,66.60000 ,,,
[秦彻]缠木,Lotusall0009,9,"3,746",0,0,416.22222 ,,,
秦彻【驯服】,Dmoyu,28,"2,076",0,1,74.14286 ,,,
【秦彻】初遇,cherry000,13,839,0,0,64.53846 ,,,
【秦彻】氤氲,ppyzh,57,"5,943",2,1,104.26316 ,,,
【秦彻】吃醋,SkeletonRain,293,"14,066",14,28,48.00683 ,,,
【秦彻】暮钟,Demon_fei,22,855,1,0,38.86364 ,,,
【秦彻】擦枪,cherry000,30,"4,918",0,2,163.93333 ,,,
【秦彻】吃醋,dididididili,751,"33,103",51,28,44.07856 ,,,
【秦彻】脱轨,chuntang,"1,644","34,278",21,72,20.85036 ,,,
【秦彻】锁链,Eieca,656,"43,994",5,25,67.06402 ,,,
【秦彻】夏天,LiMeiKong,9,179,2,0,19.88889 ,,,
【秦彻】兜风,Ariscogem,330,"12,780",128,36,38.72727 ,,,
【秦彻】初遇,cherry000,13,839,0,0,64.53846 ,,,
【秦彻】氤氲,ppyzh,57,"5,943",2,1,104.26316 ,,,
【秦彻】吃醋,SkeletonRain,293,"14,066",14,28,48.00683 ,,,
【秦彻】暮钟,Demon_fei,22,855,1,0,38.86364 ,,,
【秦彻】擦枪,cherry000,30,"4,918",0,2,163.93333 ,,,
【秦彻】吃醋,dididididili,751,"33,103",51,28,44.07856 ,,,
【秦彻】脱轨,chuntang,"1,644","34,278",21,72,20.85036 ,,,
水雾【秦彻】,Chunxi777,35,"2,331",0,0,66.60000 ,,,
[秦彻]缠木,Lotusall0009,9,"3,746",0,0,416.22222 ,,,
【秦彻】夏天,LiMeiKong,9,179,2,0,19.88889 ,,,
【秦彻】兜风,Ariscogem,330,"12,780",128,36,38.72727 ,,,
【秦彻】失控,Fei_li,174,"9,213",16,12,52.94828 ,,,
【秦彻】盛宴,yoyoyo369,265,"20,737",16,8,78.25283 ,,,
【秦彻】锁链,Eieca,656,"43,994",5,25,67.06402 ,,,
秦彻【吃醋】,Dmoyu,12,"2,192",0,1,182.66667 ,,,
秦彻【融冰】,Dmoyu,22,"1,641",0,1,74.59091 ,,,
【秦彻】电话,Gulu018,41,"3,531",0,2,86.12195 ,,,
【秦彻】微醺,yumpkklilo,370,"16,483",10,22,44.54865 ,,,
【秦彻】花糜,wanzeshi,34,"5,858",0,1,172.29412 ,,,
【秦彻】烈女,oolongoyster_talk0525,164,"3,784",40,7,23.07317 ,,,
【秦彻】初遇,cherry000,13,839,0,0,64.53846 ,,,
【秦彻】氤氲,ppyzh,57,"5,943",2,1,104.26316 ,,,
【秦彻】吃醋,SkeletonRain,293,"14,066",14,28,48.00683 ,,,
【秦彻】暮钟,Demon_fei,22,855,1,0,38.86364 ,,,
【秦彻】擦枪,cherry000,30,"4,918",0,2,163.93333 ,,,
【秦彻】吃醋,dididididili,751,"33,103",51,28,44.07856 ,,,
【秦彻】脱轨,chuntang,"1,644","34,278",21,72,20.85036 ,,,
【秦彻】Sugar daddy,蟹黄包里全是黄 (xhblqsh),109,"4,441",10,5,40.74312 ,,,
【秦彻】洗澡,蟹黄包里全是黄 (xhblqsh),161,"7,003",1,13,43.49689 ,,,
【秦彻】示弱,S_u_S,51,902,7,4,17.68627 ,,,
【秦彻】浴室,SHUTONG1110,204,"9,744",5,24,47.76471 ,,,
【秦彻】反攻,ppyzh,77,"4,850",3,6,62.98701 ,,,
【秦彻】i'm yours,NIANQ,43,"1,090",0,4,25.34884 ,,,
【秦彻】细雪,roofinblue,260,"3,930",47,10,15.11538 ,,,
［秦彻］开苞,BurningRum,863,"47,971",31,52,55.58633 ,,,
【秦彻】嫂子,wanzeshi,319,"20,528",6,13,64.35110 ,,,
【秦彻】烈女,oolongoyster_talk0525,164,"3,784",40,7,23.07317 ,,,
【秦彻】前夜,GuanRushi,41,"1,535",0,2,37.43902 ,,,
【秦彻】囚徒,qianyejihe,139,"12,210",8,7,87.84173 ,,,
【秦彻】狼狱,MJ_Spring,335,"9,959",28,15,29.72836 ,,,
【秦彻】失控,Fei_li,174,"9,213",16,12,52.94828 ,,,
【秦彻】盛宴,yoyoyo369,265,"20,737",16,8,78.25283 ,,,
【秦彻】越界,Prisoner4011,16,214,0,1,13.37500 ,,,
【秦彻】养父,MALAXIANGGUO,37,"2,292",2,0,61.94595 ,,,
